mysql> select * from esglesia where municipi is null;
+------+-----------------------------------------------------+----------+-----------+------------------------------------------------------------------+------------+-----------+------------+-----------+
| id   | nom                                                 | municipi | wikidata  | wikipedia                                                        | lat        | lon       | osm_id     | osm_tipus |
| 1144 | Sant Salvador de les Bordes d'Estavill              | NULL     | Q18007373 | ca:Sant Salvador de les Bordes d'Estavill                        | 42.3475520 | 0.9401409 | 7716701917 | node      |
| 1145 | Sant Salvador de Molinos                            | NULL     | Q18007376 | ca:Sant Salvador de Molinos                                      | 42.4106588 | 0.9819925 | 7716710235 | node      |
| 1158 | Sant Macari de Puigcercós                           | NULL     | Q18007004 | ca:Sant Macari de Puigcercós                                     | 42.1314811 | 0.8827244 | 7716761570 | node      |
| 1177 | Sant Joan Evangelista del Masenc                    | NULL     | Q18006936 | ca:Sant Joan Evangelista del Masenc                              | 42.1478427 | 0.8188704 | 7716772171 | node      |
| 1178 | Sant Miquel de Casa Cortit                          | NULL     | Q11947251 | ca:Sant Miquel de Casa Cortit                                    | 42.1221971 | 0.7171488 | 7716811953 | node      |
| 1182 | Sant Salvador de Casa Fumàs                         | NULL     | Q18007364 | ca:Sant Salvador de Casa Fumàs                                   | 42.1749742 | 0.7519245 | 7731103099 | node      |
| 1184 | Sant Vicenç del Mas de l'Ensenyat                   | NULL     | Q18007388 | ca:Sant Vicenç del Mas de l'Ensenyat                             | 42.1617374 | 0.7332291 | 7731112602 | node      |
| 1197 | Ermita de la Mare de Déu de Montserbós              | NULL     | Q17619079 | ca:Mare de Déu de Montserbós (ermita)                            | 42.1504545 | 0.7431603 | 3262122342 | node      |
| 1218 | Santa Maria d'Espot                                 | NULL     | Q18007557 | ca:Santa Maria d'Espot                                           | 42.5703397 | 1.0979402 | 7731467138 | node      |
| 1222 | Sant Feliu de Bonestarre                            | NULL     | Q47171184 | ca:Sant Feliu de Bonestarre                                      | 42.5704857 | 1.2236565 | 7731494848 | node      |
| 1223 | Sant Serni de Baiasca                               | NULL     | Q9007379  | ca:Sant Serni de Baiasca                                         | 42.5095648 | 1.1421294 | 7731563499 | node      |
| 1224 | Mare de Déu de Montserrat de Casa Coix              | NULL     | Q11935319 | ca:Mare de Déu de Montserrat de Casa Coix                        | 42.5481487 | 1.3168522 | 7731573814 | node      |
| 1229 | Sant Joan d'Àreu                                    | NULL     | NULL      | ca:Sant Joan d'Àreu                                              | 42.5882363 | 1.3262200 | 7731565618 | node      |
| 1232 | Sant Martí d'Alins                                  | NULL     | Q11947114 | ca:Sant Martí d'Alins                                            | 42.5491218 | 1.3182317 | 7731564610 | node      |
| 1234 | Sant Pere de la Força                               | NULL     | Q18007254 | ca:Sant Pere de la Força                                         | 42.5715619 | 1.3980544 | 7731598385 | node      |
| 1237 | Sant Ramon de Casa Ramonet                          | NULL     | Q11947360 | ca:Sant Ramon de Casa Ramonet                                    | 42.5491205 | 1.3178702 | 7731588056 | node      |
| 1243 | Mare de Déu de Bellero                              | NULL     | Q11935310 | ca:Mare de Déu de Bellero                                        | 42.6206302 | 1.0889989 | 7731644321 | node      |
| 1254 | Santa Eulàlia d'Alós Sobirà                         | NULL     | Q18007500 | ca:Santa Eulàlia d'Alós Sobirà                                   | 42.7027859 | 1.0940838 | 7733652057 | node      |
| 1256 | Mare de Déu del Roser de Peracalç                   | NULL     | Q18004267 | ca:Mare de Déu del Roser de Peracalç                             | 42.3068827 | 1.0045969 | 7733650965 | node      |
| 1257 | Sant Andreu de Sellui                               | NULL     | Q18006617 | ca:Sant Andreu de Sellui                                         | 42.3598085 | 1.0201294 | 7733846220 | node      |
| 1263 | Santa Cecília Vella d'Ancs                          | NULL     | Q11947491 | ca:Santa Cecília Vella d'Ancs                                    | 42.3823377 | 1.0210416 | 7734458669 | node      |
| 1264 | Santa Eulàlia de Canals                             | NULL     | Q11947525 | ca:Santa Eulàlia de Canals                                       | 42.3085730 | 1.0205544 | 7734463993 | node      |
| 1268 | Sant Romà Vell d'Useu                               | NULL     | Q11947372 | ca:Sant Romà Vell d'Useu                                         | 42.3097620 | 1.0855960 | 7734465525 | node      |
| 1269 | Sant Sadurní de Cuberes                             | NULL     | Q18007347 | ca:Sant Sadurní de Cuberes                                       | 42.2782285 | 1.1430962 | 7734457308 | node      |
| 1270 | Sant Sebastià de Buseu                              | NULL     | Q11947410 | ca:Sant Sebastià de Buseu (església)                             | 42.3260611 | 1.1369494 | 7734487636 | node      |
| 1271 | Sant Sebastià del Rial                              | NULL     | Q11947423 | ca:Sant Sebastià del Rial                                        | 42.3318894 | 1.1222484 | 7734493912 | node      |
| 1273 | Santa Coloma de l'Espluga de Cuberes                | NULL     | Q18007473 | ca:Santa Coloma de l'Espluga de Cuberes                          | 42.2875356 | 1.0523248 | 3785099938 | node      |
| 1278 | Sant Francesc de Burg                               | NULL     | Q11947041 | ca:Sant Francesc de Burg                                         | 42.5032878 | 1.2745494 | 7734478243 | node      |
| 1282 | Santa Llúcia de Farrera                             | NULL     | Q18007526 | ca:Santa Llúcia de Farrera                                       | 42.4983820 | 1.2730601 | 7734507675 | node      |
| 1287 | Capella d'Escaló                                    | NULL     | Q11912188 | ca:Capella d'Escaló                                              | 42.5476091 | 1.1627386 | 7734514035 | node      |
| 1295 | Sant Jaume de Jou                                   | NULL     | Q11947082 | ca:Sant Jaume de Jou                                             | 42.6003190 | 1.1189497 | 7734497735 | node      |
| 1296 | Sant Martí de Roma                                  | NULL     | Q18007083 | ca:Sant Martí de Roma                                            | 42.5991243 | 1.1147217 | 7734473567 | node      |
| 1305 | Sant Simó de Tavascan                               | NULL     | Q11947438 | ca:Sant Simó de Tavascan                                         | 42.6441728 | 1.2571562 | 4343389297 | node      |
| 1310 | Sant Quirze de Surp                                 | NULL     | Q11947357 | ca:Sant Quirze de Surp                                           | 42.4516627 | 1.1348720 | 7734551910 | node      |
| 1311 | Sant Vicenç d'Oveix                                 | NULL     | Q11947458 | ca:Sant Vicenç d'Oveix                                           | 42.4500679 | 1.1500020 | 7734557711 | node      |
| 1314 | Mare de Déu de Serenyà                              | NULL     | Q11935321 | ca:Mare de Déu de Serenyà                                        | 42.3599350 | 1.0982606 | 7734560247 | node      |
| 1315 | Mare de Déu del Roser de Casa Franquet              | NULL     | Q11935364 | ca:Mare de Déu del Roser de Casa Franquet                        | 42.3798876 | 1.1618405 | 7734549568 | node      |
| 1318 | Sant Martí del Castell d'Arcalís                    | NULL     | Q18007038 | ca:Sant Martí del Castell d'Arcalís                              | 42.3485470 | 1.0909962 | 7734568142 | node      |
| 1319 | Sant Miquel de Vilamur                              | NULL     | Q18007169 | ca:Sant Miquel de Vilamur                                        | 42.3892647 | 1.1647816 | 7734572520 | node      |
| 1321 | Sant Serni de Vilamur                               | NULL     | Q18007419 | ca:Sant Serni de Vilamur                                         | 42.3870262 | 1.1701441 | 7734586366 | node      |
| 1330 | Sant Clem d'Enviny                                  | NULL     | Q18006679 | ca:Sant Clem d'Enviny                                            | 42.4018602 | 1.1171141 | 7734605665 | node      |
| 1335 | Sant Martí del Pui                                  | NULL     | Q11947218 | ca:Sant Martí del Pui                                            | 42.5785501 | 1.2314172 | 7734575186 | node      |
| 1337 | Santa Eulàlia d'Estaon                              | NULL     | Q11682891 | ca:Santa Eulàlia d'Estaon                                        | 42.5877043 | 1.2113749 | 7734580151 | node      |
| 1339 | Santa Maria de la Llata                             | NULL     | Q11947617 | ca:Santa Maria de la Llata                                       | 42.5763646 | 1.2149970 | 7734605079 | node      |
| 1390 | Sant Pere de Viella                                 | NULL     | Q47171274 | ca:Sant Pere de Viella                                           | 42.0904534 | 2.8685064 | 7743418152 | node      |
| 1435 | Santa Maria del Pòpulo                              | NULL     | Q22227437 | ca:Santa Maria del Pòpulo                                        | 42.1960526 | 2.3035154 | 7743271030 | node      |
| 1443 | Església del castell de Sant Martí de Puigbò        | NULL     | Q22227316 | ca:Església del castell de Sant Martí de Puigbò                  | 42.2287408 | 2.0736973 | 7743212699 | node      |
| 1472 | Mare de Déu del Coll de la Guàrdia Lada             | NULL     | Q20901274 | ca:Mare de Déu del Coll de la Guàrdia Lada                       | 41.5911738 | 1.2913013 | 7743061493 | node      |
| 1483 | Sant Pere dels Pastors                              | NULL     | Q18696873 | ca:Sant Pere dels Pastors                                        | 41.7808955 | 1.3045832 | 2588010209 | node      |
| 1491 | Sant Simeó de Massoteres                            | NULL     | Q51879020 | ca:Sant Simeó de Massoteres                                      | 41.7971056 | 1.3114976 | 7742971151 | node      |
| 1504 | Ermita de Santa Maria                               | NULL     | Q11919605 | ca:Ermita de Santa Maria (Biosca)                                | 41.8454078 | 1.3580879 | 7742934193 | node      |
| 1507 | Sant Jaume de Montfalcó                             | NULL     | Q65205912 | ca:Sant Jaume de Montfalcó                                       | 41.6834291 | 1.3306076 | 7742908703 | node      |
| 1508 | Sant Pere de Montfalcó Murallat                     | NULL     | Q18007269 | ca:Sant Pere de Montfalcó Murallat                               | 41.6887727 | 1.3401303 | 7742876411 | node      |
| 1510 | Sant Salvador de les Oluges                         | NULL     | NULL      | ca:Sant Salvador de les Oluges                                   | 41.6974943 | 1.3217052 | 2570088898 | node      |
| 1538 | Santa Maria de Vilanova de la Barca                 | NULL     | Q18007654 | ca:Santa Maria de Vilanova de la Barca                           | 41.6891748 | 0.7264394 | 7741889688 | node      |
| 1543 | Sant Miquel de Ratera                               | NULL     | Q19257334 | ca:Ratera (Alguaire)                                             | 41.7527984 | 0.6215851 | 7741871296 | node      |
| 1563 | Sant Corneli de Montells                            | NULL     | Q21730832 | ca:Sant Corneli de Montells                                      | 41.7205255 | 2.6674661 | 7741645088 | node      |
| 1594 | Sant Ermengol de Madrona (vell)                     | NULL     | Q20679373 | ca:Sant Ermengol de Madrona (vell)                               | 41.9482560 | 1.4103306 | 7741450735 | node      |
| 1596 | Sant Esteve de Castellonet                          | NULL     | Q18006737 | ca:Sant Esteve de Castellonet                                    | 42.0778873 | 1.5669275 | 7741451163 | node      |
| 1627 | Sant Andreu del Pujol del Racó                      | NULL     | Q18084760 | ca:Sant Andreu del Pujol del Racó                                | 42.1770299 | 1.6009958 | 7740965780 | node      |
| 1637 | Santa Maria de Peracamps                            | NULL     | Q19831072 | ca:Santa Maria de Peracamps                                      | 41.9159212 | 1.4363041 | 2626083173 | node      |
